course_uuid,course_code,latest_version_uuid
e08bb6f0-2aea-e2fc-165a-e7b4fd5b19e2,P2NC.00.601,9ca3b219-5623-1b7b-3514-4cd9f66a95d7
6e7aa40d-7e8c-51d4-c049-b37086bc51b3,MVFA.00.056,ebaf1766-ae35-cedd-ef3c-9f93f01d53cd
bc2a00cf-b327-3e4b-1f1d-20366f03caff,FLGR.03.149,3261db9c-9d30-5f1f-6765-8694acb5111c
cd4d2367-9682-f21c-6088-f7afea6852ae,FLGR.03.156,faa86dd2-95b5-7385-cdda-a35f371ee730
00fdfc7b-2627-6ab1-67b5-ef720dd224a5,FLGR.01.186,6fc6fbc0-9f9d-f2fd-f12d-e8d3943801e9
7e97b1fa-b4d7-a9eb-6079-60d3ec2e8de3,USUS.03.051,dc293e30-846c-d9bc-64d4-23b6082ae8a2
eb930ea1-99ff-1bb8-f97e-bd0aee50f8a5,FLFI.00.032,0edd68dc-6d47-8af3-8b61-2ac2186df03b
3db4d084-5930-8655-f882-8bfedddc6de2,FLAJ.05.161,db67460a-9548-c5cb-7a30-af969ceb205d
1c05f91a-9c82-0ff7-62da-880e4d9cc642,LOFY.03.084,8a4a67b7-b4ee-6c85-0386-f6c3d4c4515c
2ce35548-677c-05fc-87a1-01f3b1f750d0,P2PC.00.676,7b216d1f-d763-53af-6bcd-82707a89fce2
8d1e13ea-e03c-e419-921f-eba8c7033be4,P2NC.00.910,a641ac2e-70b9-7f1b-113d-9c4063de9f8a
7aa06f32-7f6f-be0e-27fa-4477c297ce20,P2VK.01.455,54e4e231-af46-b9c6-3631-2194612c4470
71333412-6fde-c5d6-04f8-05dc68166721,P2VK.02.458,13b938a1-2109-b417-74ed-2f078db247d9
b646b853-95e2-7bcd-f893-6cd6b4c6f4a5,ARFA.02.122,f4b7c07b-9b90-6174-77d9-fc109e591bd9
974125a7-0161-dc97-65ea-7d979832bda9,P2VK.02.524,581f25b6-8f01-9b33-b789-652f628f19c3
64095630-8cc7-c043-30a2-4d6eb8904a34,ARTH.03.040,7044d2c3-cb66-5cf0-6d05-a35e9e8c518d
f82f8ef5-9112-6265-e252-c934e28de789,LTAT.03.002,f723efb5-f90c-4b50-4445-b81d092e9a5a
66fa5c41-da2c-a1c1-1e00-bfb64b6361ed,LTAT.05.005,89479324-c437-5c13-796f-26987f3bf2b5
a853821c-cf9e-adbe-954d-4807ae8f38e0,LTAT.05.003,51ae135a-4f55-deb7-8e36-4e1ea59e0bd3
2ed133bf-0aa0-56d3-e92c-714a7a6d8fe2,OIEO.06.045,00e2d800-be7e-8078-8e17-e424c3498dbf
35ea3726-b05c-5d1a-1266-36e61d92e58f,ARSK.04.001,88347c74-8c37-0276-2144-d88646e9c2b9
1c928cc2-aa12-1222-5b9a-643fedb6980e,SVPH.00.062,3b5fc7a4-adfc-910c-f38b-1e73e5d19047
e7892da7-ea36-2cdf-236e-d0bcac285f98,MTAT.05.074,bbfc39c3-e769-cf71-4b06-4d2bfed66091
979bc16f-5a02-6954-f41c-34717319a89d,LOOM.03.120,dc324289-ef07-9865-d673-3a3ab00b5644
a85bafd8-82d9-fdf7-ce6b-913a532f864a,MTAT.03.105,cbf9df29-27d8-400e-50b3-4d81d1122295
762126be-4047-1dc9-cfa6-8119de2aba4a,FLGR.01.039,86bada16-00ff-767a-9987-db4a345e085a
34b355d5-aedf-4726-dfea-4c42e6357421,LOOM.02.106,ec7767b8-0a9d-0346-ec3a-347fd1ca958c
0cab5f1e-e927-af05-e411-51ae97751d1e,MVFA.00.060,7512507b-f4ed-703f-7bfb-25c1ff897cf1
